English	German	Spanish	Dutch
Bitcoin	Bitcoin	Bitcoin	Bitcoin
Ethereum	Ethereum	Ethereum	Ethereum
Solana	Solana	Solana	Solana
BNB	BNB	BNB	BNB
XRP	XRP	XRP	XRP
Cardano	Cardano	Cardano	Cardano
Dogecoin	Dogecoin	Dogecoin	Dogecoin
Avalanche	Avalanche	Avalanche	Avalanche
Polkadot	Polkadot	Polkadot	Polkadot
Chainlink	Chainlink	Chainlink	Chainlink
Litecoin	Litecoin	Litecoin	Litecoin
Monero	Monero	Monero	Monero
Stablecoin	Stablecoin	Stablecoin	Stablecoin
USDT (Tether)	USDT (Tether)	USDT (Tether)	USDT (Tether)
USDC	USDC	USDC	USDC
DAI	DAI	DAI	DAI
Fiat currency	Fiat-Währung	Moneda fiduciaria	Fiatvaluta
Forex	Forex	Forex	Forex
FX market	Devisenmarkt	Mercado FX	FX-markt
Exchange rate	Wechselkurs	Tipo de cambio	Wisselkoers
Currency pair	Währungspaar	Par de divisas	Valutapaar
Major pairs	Hauptwährungspaare	Pares mayores	Majors
Minor pairs	Nebenwährungspaare	Pares menores	Minors
Cross pair	Cross-Paar	Par cruzado	Cross
Pip	Pip	Pip	Pip
Pip value	Pip-Wert	Valor del pip	Pipwaarde
Spread	Spread	Diferencial	Spread
Commission	Gebühr/Kommission	Comisión	Commissie
Maker fee	Maker-Gebühr	Comisión maker	Maker-fee
Taker fee	Taker-Gebühr	Comisión taker	Taker-fee
Slippage	Slippage	Deslizamiento	Slippage
Liquidity	Liquidität	Liquidez	Liquiditeit
Volatility	Volatilität	Volatilidad	Volatiliteit
Volume	Volumen	Volumen	Volume
Market cap	Marktkapitalisierung	Capitalización de mercado	Marktkapitalisatie
Order book	Orderbuch	Libro de órdenes	Orderboek
Bid	Bid/Gebot	Oferta (bid)	Bod
Ask	Ask/Brief	Demanda (ask)	Laat
Bid-ask spread	Bid-Ask-Spread	Diferencial bid-ask	Bid-ask spread
Open interest	Open Interest	Interés abierto	Open interest
Funding rate	Funding-Rate	Tasa de financiación	Funding rate
Liquidation	Liquidation	Liquidación	Liquidatie
Leverage	Hebel	Apalancamiento	Hefboom
Margin	Margin/Sicherheitsleistung	Margen	Marge
Isolated margin	Isolierte Margin	Margen aislado	Geïsoleerde marge
Cross margin	Cross-Margin	Margen cruzado	Cross marge
Long position	Long-Position	Posición larga	Long-positie
Short position	Short-Position	Posición corta	Short-positie
PnL (profit and loss)	PnL (Gewinn/Verlust)	PnL (ganancias/pérdidas)	PnL (winst/verlies)
Unrealized PnL	Nicht realisierter Gewinn/Verlust	PnL no realizado	Ongerealiseerde PnL
Realized PnL	Realisierter Gewinn/Verlust	PnL realizado	Gerealiseerde PnL
Entry	Einstieg	Entrada	Instap
Exit	Ausstieg	Salida	Uitstap
Execution	Ausführung	Ejecución	Uitvoering
Fill	Ausführung (Fill)	Ejecución (fill)	Fill
Partial fill	Teilausführung	Ejecución parcial	Deel-fill
Average entry	Durchschnittlicher Einstieg	Entrada promedio	Gemiddelde instap
Average price	Durchschnittspreis	Precio promedio	Gemiddelde prijs
Risk management	Risikomanagement	Gestión de riesgos	Risicobeheer
Position sizing	Positionsgröße	Tamaño de posición	Positiegrootte
Risk-reward	Chance-Risiko-Verhältnis	Riesgo-beneficio	Risico-rendement
R multiple	R-Multiple	Múltiplo R	R-multiple
Drawdown	Drawdown	Drawdown	Drawdown
Win rate	Trefferquote	Tasa de acierto	Winrate
Expectancy	Erwartungswert	Expectativa	Verwachtingswaarde
Backtesting	Backtesting	Backtesting	Backtesting
Paper trading	Papertrading/Demotrading	Trading en demo	Paper trading
Demo account	Demokonto	Cuenta demo	Demorekening
Trading journal	Trading-Journal	Diario de trading	Trading journal
Trade log	Trade-Log	Registro de operaciones	Trade-log
Checklist	Checkliste	Lista de verificación	Checklist
Bias	Bias/Markt-Bias	Sesgo	Bias
Setup	Setup	Setup	Setup
Confirmation	Bestätigung	Confirmación	Bevestiging
Invalidation	Invalidierung	Invalidación	Invalidatie
Confluence	Konfluenz	Confluencia	Confluentie
News	News/Nachrichten	Noticias	Nieuws
Economic calendar	Wirtschaftskalender	Calendario económico	Economische kalender
CPI (inflation)	CPI (Inflation)	IPC (inflación)	CPI (inflatie)
Interest rate decision	Zinsentscheid	Decisión de tipos	Rente-besluit
NFP (jobs report)	NFP (Arbeitsmarktbericht)	NFP (empleo)	NFP (banenrapport)
FOMC	FOMC	FOMC	FOMC
Buy	Kaufen	Comprar	Kopen
Sell	Verkaufen	Vender	Verkopen
Market order	Marktorder	Orden de mercado	Marktorder
Limit order	Limit-Order	Orden límite	Limietorder
Stop order	Stop-Order	Orden stop	Stoporder
Stop-limit order	Stop-Limit-Order	Orden stop-límite	Stop-limietorder
OCO order	OCO-Order	Orden OCO	OCO-order
Post-only	Post-only	Solo maker (post-only)	Post-only
Reduce-only	Reduce-only	Solo reducir (reduce-only)	Reduce-only
Stop loss	Stop-Loss	Stop loss	Stop loss
Take profit	Take-Profit	Take profit	Take profit
Trailing stop	Trailing-Stop	Stop dinámico	Trailing stop
Break even	Break-even	Punto de equilibrio	Break-even
Move stop to break even	Stop auf Break-even ziehen	Mover el stop a break even	Stop naar break-even verplaatsen
Scale in	Reinskalieren/Position aufbauen	Escalar entrada	Inschalen
Scale out	Raus-skalieren/Teilgewinne	Escalar salida	Uitschalen
Add to position	Position aufstocken	Añadir a la posición	Positie uitbreiden
Reduce position	Position reduzieren	Reducir posición	Positie verkleinen
Close position	Position schließen	Cerrar posición	Positie sluiten
Open position	Position eröffnen	Abrir posición	Positie openen
Stop out	Ausgestoppt werden	Salir por stop	Uitgestopt worden
Take partials	Teilgewinne nehmen	Tomar parciales	Partials nemen
Re-enter	Wiedereinstieg	Reentrar	Opnieuw instappen
Cancel order	Order stornieren	Cancelar orden	Order annuleren
Order rejected	Order abgelehnt	Orden rechazada	Order geweigerd
Chart	Chart	Gráfico	Grafiek
Candlestick	Kerze	Vela	Candle
Candle close	Kerzenschluss	Cierre de vela	Candle close
Wick	Docht/Lunte	Mecha	Wick
Body	Kerzenkörper	Cuerpo	Body
Open (price)	Eröffnungskurs	Precio de apertura	Open
High (price)	Tageshoch/Hoch	Máximo	High
Low (price)	Tagestief/Tief	Mínimo	Low
Close (price)	Schlusskurs	Cierre	Close
Timeframe	Zeiteinheit/Timeframe	Marco temporal	Timeframe
1 minute (1m)	1 Minute (1m)	1 minuto (1m)	1 minuut (1m)
5 minutes (5m)	5 Minuten (5m)	5 minutos (5m)	5 minuten (5m)
15 minutes (15m)	15 Minuten (15m)	15 minutos (15m)	15 minuten (15m)
1 hour (1h)	1 Stunde (1h)	1 hora (1h)	1 uur (1h)
4 hours (4h)	4 Stunden (4h)	4 horas (4h)	4 uur (4h)
Daily (1D)	Tageschart (1D)	Diario (1D)	Dagelijks (1D)
Weekly (1W)	Wochenchart (1W)	Semanal (1W)	Wekelijks (1W)
Monthly (1M)	Monatschart (1M)	Mensual (1M)	Maandelijks (1M)
Trend	Trend	Tendencia	Trend
Uptrend	Aufwärtstrend	Tendencia alcista	Opwaartse trend
Downtrend	Abwärtstrend	Tendencia bajista	Neerwaartse trend
Range	Range/Seitwärtsphase	Rango	Range
Consolidation	Konsolidierung	Consolidación	Consolidatie
Breakout	Ausbruch	Ruptura	Breakout
Breakdown	Abbruch nach unten	Ruptura a la baja	Breakdown
Pullback	Rücksetzer	Retroceso	Pullback
Retracement	Retracement	Retroceso	Retracement
Reversal	Trendwende	Reversión	Omkering
Support	Unterstützung	Soporte	Steun
Resistance	Widerstand	Resistencia	Weerstand
Support and resistance	Unterstützung und Widerstand	Soportes y resistencias	Steun en weerstand
Trend line	Trendlinie	Línea de tendencia	Trendlijn
Channel	Kanal	Canal	Kanaal
Volume spike	Volumenspike	Pico de volumen	Volume spike
Liquidity sweep	Liquidity Sweep	Barrida de liquidez	Liquidity sweep
Stop hunt	Stop-Hunt	Caza de stops	Stop hunt
Fakeout	Fakeout	Falsa ruptura	Fakeout
Mean reversion	Mean-Reversion	Reversión a la media	Mean reversion
VWAP	VWAP	VWAP	VWAP
EMA	EMA	EMA	EMA
SMA	SMA	SMA	SMA
Moving average	Gleitender Durchschnitt	Media móvil	Voortschrijdend gemiddelde
RSI	RSI	RSI	RSI
MACD	MACD	MACD	MACD
ATR	ATR	ATR	ATR
Bollinger Bands	Bollinger-Bänder	Bandas de Bollinger	Bollinger Bands
Volume profile	Volumenprofil	Perfil de volumen	Volume profile
Order flow	Orderflow	Flujo de órdenes	Orderflow
Market structure	Marktstruktur	Estructura de mercado	Marktstructuur
Higher high	Höheres Hoch	Máximo más alto	Hogere high
Higher low	Höheres Tief	Mínimo más alto	Hogere low
Lower high	Tieferes Hoch	Máximo más bajo	Lagere high
Lower low	Tieferes Tief	Mínimo más bajo	Lagere low
Crypto exchange	Krypto-Börse	Exchange de criptomonedas	Crypto exchange
Centralized exchange (CEX)	Zentrale Börse (CEX)	Exchange centralizado (CEX)	Gecentraliseerde exchange (CEX)
Decentralized exchange (DEX)	Dezentrale Börse (DEX)	Exchange descentralizado (DEX)	Gedecentraliseerde exchange (DEX)
On-chain analysis	On-Chain-Analyse	Análisis on-chain	On-chain analyse
Gas fee	Gas-Gebühr	Comisión de gas	Gas fee
Network fee	Netzwerkgebühr	Comisión de red	Netwerkkosten
Transaction	Transaktion	Transacción	Transactie
Block	Block	Bloque	Blok
Block confirmation	Blockbestätigung	Confirmación de bloque	Blokbevestiging
Hash rate	Hashrate	Tasa de hash	Hashrate
Mining difficulty	Mining-Schwierigkeit	Dificultad de minería	Mining moeilijkheid
Staking rewards	Staking-Erträge	Recompensas por staking	Staking beloningen
APR	APR	APR	APR
APY	APY	APY	APY
Yield	Rendite/Yield	Rendimiento	Rendement
Liquidity pool	Liquiditätspool	Pool de liquidez	Liquiditeitspool
Impermanent loss	Impermanent Loss	Pérdida impermanente	Impermanent loss
Smart contract risk	Smart-Contract-Risiko	Riesgo de contrato inteligente	Smart contract-risico
Rug pull	Rug Pull	Rug pull	Rug pull
Whitelist	Whitelist	Lista blanca	Whitelist
Airdrop	Airdrop	Airdrop	Airdrop
Tokenomics	Tokenomics	Tokenomics	Tokenomics
Circulating supply	Umlaufangebot	Suministro circulante	Circulerend aanbod
Total supply	Gesamtangebot	Suministro total	Totale supply
Max supply	Maximales Angebot	Suministro máximo	Max supply
KYC verification	KYC-Verifizierung	Verificación KYC	KYC verificatie
Two-factor authentication	Zwei-Faktor-Authentifizierung	Autenticación de dos factores	Twee-factor-authenticatie
Lot size	Lot-Größe	Tamaño de lote	Lotgrootte
Micro lot	Mikro-Lot	Micro lote	Micro lot
Mini lot	Mini-Lot	Mini lote	Mini lot
Standard lot	Standard-Lot	Lote estándar	Standaard lot
Rollover	Rollover	Rollover	Rollover
Swap (overnight)	Swap (Overnight)	Swap (overnight)	Swap (overnight)
Swap rate	Swap-Satz	Tasa swap	Swap-rente
Spread widening	Spread-Ausweitung	Ampliación del spread	Spread-verbreding
Liquidity session	Handelssession	Sesión de mercado	Handelssessie
London session	London-Session	Sesión de Londres	Londense sessie
New York session	New-York-Session	Sesión de Nueva York	New York-sessie
Asian session	Asien-Session	Sesión asiática	Aziatische sessie
High impact news	High-Impact-News	Noticias de alto impacto	High-impact nieuws
Volatility spike	Volatilitätsspitze	Pico de volatilidad	Volatiliteitspiek
EUR/USD	EUR/USD	EUR/USD	EUR/USD
USD/JPY	USD/JPY	USD/JPY	USD/JPY
GBP/USD	GBP/USD	GBP/USD	GBP/USD
USD/CHF	USD/CHF	USD/CHF	USD/CHF
AUD/USD	AUD/USD	AUD/USD	AUD/USD
NZD/USD	NZD/USD	NZD/USD	NZD/USD
USD/CAD	USD/CAD	USD/CAD	USD/CAD
EUR/GBP	EUR/GBP	EUR/GBP	EUR/GBP
EUR/JPY	EUR/JPY	EUR/JPY	EUR/JPY
GBP/JPY	GBP/JPY	GBP/JPY	GBP/JPY
BTC/USD	BTC/USD	BTC/USD	BTC/USD
BTC/USDT	BTC/USDT	BTC/USDT	BTC/USDT
ETH/USD	ETH/USD	ETH/USD	ETH/USD
ETH/USDT	ETH/USDT	ETH/USDT	ETH/USDT
SOL/USDT	SOL/USDT	SOL/USDT	SOL/USDT
BNB/USDT	BNB/USDT	BNB/USDT	BNB/USDT
XRP/USDT	XRP/USDT	XRP/USDT	XRP/USDT
I went long	Ich bin long gegangen	Me puse largo	Ik ging long
I went short	Ich bin short gegangen	Me puse corto	Ik ging short
Entry at	Einstieg bei	Entrada en	Instap op
Stop at	Stop bei	Stop en	Stop op
Target at	Ziel bei	Objetivo en	Doel op
I got stopped out	Ich wurde ausgestoppt	Me sacó el stop	Ik werd uitgestopt
I took profit	Ich habe Gewinne mitgenommen	Tomé beneficios	Ik nam winst
I took partial profit	Ich habe Teilgewinne genommen	Tomé beneficios parciales	Ik nam partial winst
I moved my stop	Ich habe meinen Stop nachgezogen	Moví mi stop	Ik verplaatste mijn stop
I moved stop to break even	Stop auf Break-even	Moví el stop a break even	Stop naar break-even
Risk was	Risiko war	El riesgo fue	Het risico was
Reward was	Reward war	La recompensa fue	De reward was
Risk-reward was	CRV war	El riesgo-beneficio fue	Risico-rendement was
My bias is bullish	Mein Bias ist bullish	Mi sesgo es alcista	Mijn bias is bullish
My bias is bearish	Mein Bias ist bearish	Mi sesgo es bajista	Mijn bias is bearish
Market is ranging	Markt ist seitwärts	El mercado está en rango	Markt zit in een range
Market is trending	Markt trendet	El mercado está en tendencia	Markt is trending
Good entry	Guter Einstieg	Buena entrada	Goede instap
Bad entry	Schlechter Einstieg	Mala entrada	Slechte instap
Overtrading	Overtrading	Sobreoperar	Overtrading
FOMO	FOMO	FOMO	FOMO
I hesitated	Ich habe gezögert	Dudé	Ik twijfelde
I followed my plan	Ich habe meinen Plan befolgt	Seguí mi plan	Ik volgde mijn plan
I broke my rules	Ich habe meine Regeln gebrochen	Rompí mis reglas	Ik brak mijn regels
I will review this trade	Ich werde den Trade reviewen	Voy a revisar esta operación	Ik ga deze trade reviewen
