Language	Canonical	Variant	Category
EN	RSI	R S I	acronym
EN	RSI	R.S.I.	acronym
EN	RSI	relative strength index	acronym
EN	RSI	RSI indicator	acronym
DE	RSI	R S I	acronym
DE	RSI	R.S.I.	acronym
DE	RSI	Relative Strength Index	acronym
DE	RSI	RSI Indikator	acronym
ES	RSI	R S I	acronym
ES	RSI	R.S.I.	acronym
ES	RSI	índice de fuerza relativa	acronym
ES	RSI	indicador RSI	acronym
NL	RSI	R S I	acronym
NL	RSI	R.S.I.	acronym
NL	RSI	relative strength index	acronym
NL	RSI	RSI indicator	acronym
EN	MACD	M A C D	acronym
EN	MACD	M.A.C.D.	acronym
EN	MACD	mack dee	acronym
EN	MACD	moving average convergence divergence	acronym
DE	MACD	M A C D	acronym
DE	MACD	M.A.C.D.	acronym
DE	MACD	mäck dee	acronym
DE	MACD	Moving Average Convergence Divergence	acronym
ES	MACD	M A C D	acronym
ES	MACD	M.A.C.D.	acronym
ES	MACD	eme a ce de	acronym
ES	MACD	convergencia divergencia de medias móviles	acronym
NL	MACD	M A C D	acronym
NL	MACD	M.A.C.D.	acronym
NL	MACD	mack dee	acronym
NL	MACD	moving average convergence divergence	acronym
EN	ROI	R O I	acronym
EN	ROI	R.O.I.	acronym
EN	ROI	return on investment	acronym
EN	ROI	return on invested capital	acronym
DE	ROI	R O I	acronym
DE	ROI	R.O.I.	acronym
DE	ROI	Return on Investment	acronym
DE	ROI	Kapitalrendite	acronym
ES	ROI	R O I	acronym
ES	ROI	R.O.I.	acronym
ES	ROI	retorno de inversión	acronym
ES	ROI	retorno sobre la inversión	acronym
NL	ROI	R O I	acronym
NL	ROI	R.O.I.	acronym
NL	ROI	return on investment	acronym
NL	ROI	rendement op investering	acronym
EN	KYC	K Y C	acronym
EN	KYC	K.Y.C.	acronym
EN	KYC	know your customer	acronym
EN	KYC	identity verification	acronym
DE	KYC	K Y C	acronym
DE	KYC	K.Y.C.	acronym
DE	KYC	Know Your Customer	acronym
DE	KYC	Identitätsprüfung	acronym
ES	KYC	K Y C	acronym
ES	KYC	K.Y.C.	acronym
ES	KYC	know your customer	acronym
ES	KYC	verificación de identidad	acronym
NL	KYC	K Y C	acronym
NL	KYC	K.Y.C.	acronym
NL	KYC	know your customer	acronym
NL	KYC	identiteitsverificatie	acronym
EN	ICO	I C O	acronym
EN	ICO	I.C.O.	acronym
EN	ICO	initial coin offering	acronym
EN	ICO	token sale	acronym
DE	ICO	I C O	acronym
DE	ICO	I.C.O.	acronym
DE	ICO	Initial Coin Offering	acronym
DE	ICO	Token Sale	acronym
ES	ICO	I C O	acronym
ES	ICO	I.C.O.	acronym
ES	ICO	oferta inicial de moneda	acronym
ES	ICO	venta de tokens	acronym
NL	ICO	I C O	acronym
NL	ICO	I.C.O.	acronym
NL	ICO	initial coin offering	acronym
NL	ICO	token sale	acronym
EN	DeFi	dee fi	acronym
EN	DeFi	D E F I	acronym
EN	DeFi	D.E.F.I.	acronym
EN	DeFi	decentralized finance	acronym
DE	DeFi	dee fi	acronym
DE	DeFi	D E F I	acronym
DE	DeFi	DeFi	acronym
DE	DeFi	dezentrale Finanzen	acronym
ES	DeFi	dee fi	acronym
ES	DeFi	D E F I	acronym
ES	DeFi	DeFi	acronym
ES	DeFi	finanzas descentralizadas	acronym
NL	DeFi	dee fi	acronym
NL	DeFi	D E F I	acronym
NL	DeFi	DeFi	acronym
NL	DeFi	gedecentraliseerde financiën	acronym
EN	TP	T P	acronym
EN	TP	take profit	acronym
EN	TP	target	acronym
DE	TP	T P	acronym
DE	TP	Take-Profit	acronym
DE	TP	Ziel	acronym
DE	TP	Gewinnmitnahme	acronym
ES	TP	T P	acronym
ES	TP	take profit	acronym
ES	TP	objetivo	acronym
ES	TP	toma de beneficios	acronym
NL	TP	T P	acronym
NL	TP	take profit	acronym
NL	TP	doel	acronym
NL	TP	winst nemen	acronym
EN	SL	S L	acronym
EN	SL	stop loss	acronym
EN	SL	stop	acronym
DE	SL	S L	acronym
DE	SL	Stop-Loss	acronym
DE	SL	Stop	acronym
ES	SL	S L	acronym
ES	SL	stop loss	acronym
ES	SL	stop	acronym
NL	SL	S L	acronym
NL	SL	stop loss	acronym
NL	SL	stop	acronym
EN	BE	B E	acronym
EN	BE	break even	acronym
EN	BE	breakeven	acronym
DE	BE	B E	acronym
DE	BE	Break-even	acronym
DE	BE	Einstand	acronym
ES	BE	B E	acronym
ES	BE	break even	acronym
ES	BE	punto de equilibrio	acronym
NL	BE	B E	acronym
NL	BE	break even	acronym
NL	BE	break-even	acronym
EN	RR	R R	acronym
EN	RR	risk reward	acronym
EN	RR	risk-to-reward	acronym
EN	RR	R to R	acronym
DE	RR	R R	acronym
DE	RR	Chance Risiko	acronym
DE	RR	CRV	acronym
DE	RR	Chance-Risiko-Verhältnis	acronym
ES	RR	R R	acronym
ES	RR	riesgo beneficio	acronym
ES	RR	ratio riesgo-beneficio	acronym
NL	RR	R R	acronym
NL	RR	risk reward	acronym
NL	RR	risico-rendement	acronym
EN	EMA	E M A	acronym
EN	EMA	exponential moving average	acronym
EN	EMA	EMA line	acronym
DE	EMA	E M A	acronym
DE	EMA	exponentieller gleitender Durchschnitt	acronym
DE	EMA	EMA Linie	acronym
ES	EMA	E M A	acronym
ES	EMA	media móvil exponencial	acronym
ES	EMA	línea EMA	acronym
NL	EMA	E M A	acronym
NL	EMA	exponential moving average	acronym
NL	EMA	EMA lijn	acronym
EN	SMA	S M A	acronym
EN	SMA	simple moving average	acronym
EN	SMA	SMA line	acronym
DE	SMA	S M A	acronym
DE	SMA	einfacher gleitender Durchschnitt	acronym
DE	SMA	SMA Linie	acronym
ES	SMA	S M A	acronym
ES	SMA	media móvil simple	acronym
ES	SMA	línea SMA	acronym
NL	SMA	S M A	acronym
